"Date","Price","Open","High","Low","Vol.","Change %"
"2022-04-01","46,297.0","45,529.0","46,728.0","44,261.0","632.93M","1.70%"
"2022-03-31","45,525.0","47,071.0","47,624.0","45,228.0","520.00M","-3.29%"
"2022-03-30","47,075.0","47,449.0","47,714.0","46,601.0","467.76M","-0.79%"
"2022-03-29","47,449.0","47,126.0","48,127.0","47,029.0","478.82M","0.73%"
"2022-03-28","47,105.0","46,859.0","48,199.0","46,672.0","610.27M","0.52%"
"2022-03-27","46,859.0","44,542.0","46,947.0","44,445.0","388.79M","5.19%"
"2022-03-26","44,548.0","44,331.0","44,818.0","44,090.0","196.30M","0.49%"
"2022-03-25","44,331.0","44,013.0","45,112.0","43,622.0","494.09M","0.72%"
"2022-03-24","44,013.0","42,911.0","44,251.0","42,658.0","491.66M","2.57%"
"2022-03-23","42,912.0","42,373.0","43,027.0","41,795.0","433.96M","1.27%"
"2022-03-22","42,373.0","41,022.0","43,327.9","40,893.0","537.06M","3.29%"
"2022-03-21","41,022.0","41,282.0","41,532.0","40,530.0","406.62M","-0.62%"
"2022-03-20","41,276.0","42,241.0","42,301.0","40,922.0","308.45M","-2.27%"
"2022-03-19","42,233.0","41,768.0","42,386.0","41,529.6","224.59M","1.11%"
"2022-03-18","41,767.8","40,914.6","42,308.4","40,234.8","2.31B","2.08%"
"2022-03-17","40,914.8","41,118.7","41,406.0","40,557.8","1.90B","-0.50%"
"2022-03-16","41,118.7","39,282.5","41,701.6","38,953.2","4.47B","4.67%"
"2022-03-15","39,285.7","39,673.0","39,854.7","38,220.9","2.25B","-0.97%"
"2022-03-14","39,671.1","37,789.5","39,914.3","37,613.6","2.33B","4.97%"
"2022-03-13","37,792.4","38,813.2","39,272.3","37,603.4","1.55B","-2.63%"
"2022-03-12","38,814.3","38,730.2","39,355.3","38,666.5","1.11B","0.22%"
"2022-03-11","38,730.2","39,422.5","40,177.0","38,236.4","2.79B","-1.74%"
"2022-03-10","39,416.3","41,933.9","42,029.1","38,603.5","3.62B","-5.99%"
"2022-03-09","41,929.0","38,731.5","42,538.5","38,663.3","3.60B","8.22%"
"2022-03-08","38,744.8","38,020.6","39,351.5","37,886.6","2.67B","1.89%"
"2022-03-07","38,024.8","38,420.6","39,532.0","37,182.1","3.02B","-0.99%"
"2022-03-06","38,403.1","39,396.3","39,668.1","38,115.0","1.93B","-2.52%"
"2022-03-05","39,395.8","39,142.8","39,600.2","38,626.1","1.50B","0.65%"
"2022-03-04","39,142.7","42,463.0","42,848.7","38,594.9","3.21B","-7.82%"
"2022-03-03","42,463.0","43,912.8","44,077.2","41,840.8","74.11K","-3.30%"
"2022-03-02","43,912.8","44,420.3","45,294.2","43,361.3","80.82K","-1.14%"
"2022-03-01","44,420.3","43,187.2","44,900.5","42,876.6","90.67K","2.85%"
"2022-02-28","43,188.2","37,707.2","43,977.8","37,458.9","108.07K","14.59%"
"2022-02-27","37,689.1","39,116.6","39,838.5","37,062.3","66.14K","-3.65%"
"2022-02-26","39,115.5","39,221.6","40,094.5","38,639.1","41.55K","-0.24%"
"2022-02-25","39,209.6","38,339.2","39,683.7","38,042.6","83.78K","2.27%"
"2022-02-24","38,339.2","37,250.2","39,351.6","34,357.4","180.47K","2.99%"
"2022-02-23","37,224.6","38,248.2","39,194.5","37,099.5","64.84K","-2.68%"
"2022-02-22","38,248.2","37,018.3","38,414.9","36,399.6","82.75K","3.32%"
"2022-02-21","37,017.7","38,355.0","39,444.1","36,868.9","91.82K","-3.49%"
"2022-02-20","38,355.0","40,089.6","40,120.3","38,042.2","47.92K","-4.33%"
"2022-02-19","40,090.3","40,000.1","40,434.3","39,666.6","25.78K","0.23%"
"2022-02-18","40,000.1","40,532.5","40,935.5","39,505.0","64.96K","-1.36%"
"2022-02-17","40,552.8","43,885.5","44,167.1","40,103.8","72.63K","-7.59%"
"2022-02-16","43,883.6","44,540.9","44,552.9","43,377.6","41.40K","-1.48%"
"2022-02-15","44,544.4","42,550.3","44,722.6","42,460.1","56.34K","4.69%"
"2022-02-14","42,550.3","42,061.1","42,799.7","41,591.3","53.60K","1.16%"
"2022-02-13","42,061.1","42,205.5","42,725.1","41,880.1","25.88K","-0.34%"
"2022-02-12","42,205.2","42,388.4","43,006.4","41,776.8","37.88K","-0.43%"
"2022-02-11","42,388.4","43,519.3","43,915.1","42,023.4","69.95K","-2.60%"
"2022-02-10","43,521.0","44,388.9","45,755.2","43,242.5","89.69K","-1.96%"
"2022-02-09","44,388.9","44,038.2","44,800.4","43,163.0","50.92K","0.80%"
"2022-02-08","44,038.2","43,833.9","45,399.8","42,705.0","92.88K","0.47%"
"2022-02-07","43,833.9","42,385.2","44,468.3","41,695.4","76.60K","3.40%"
"2022-02-06","42,392.2","41,411.9","42,614.8","41,176.3","31.20K","2.37%"
"2022-02-05","41,412.1","41,566.5","41,899.8","40,963.3","46.32K","-0.37%"
"2022-02-04","41,567.6","37,287.8","41,689.0","37,041.1","95.49K","11.48%"
"2022-02-03","37,287.8","36,890.2","37,304.3","36,297.3","50.35K","1.08%"
"2022-02-02","36,890.2","38,711.2","38,853.8","36,682.3","53.74K","-4.70%"
"2022-02-01","38,709.7","38,475.6","39,230.0","38,037.9","55.20K","0.55%"
"2022-01-31","38,498.6","37,923.8","38,701.4","36,672.8","61.27K","1.53%"
"2022-01-30","37,917.7","38,167.5","38,313.3","37,390.6","34.10K","-0.66%"
"2022-01-29","38,170.8","37,736.5","38,663.7","37,350.2","42.77K","1.13%"
"2022-01-28","37,745.1","37,195.6","37,995.9","36,176.5","69.45K","1.56%"
"2022-01-27","37,164.3","36,800.1","37,215.4","35,543.2","83.52K","0.99%"
"2022-01-26","36,800.4","36,962.3","38,862.6","36,280.0","107.87K","-0.41%"
"2022-01-25","36,950.6","36,691.3","37,501.8","35,729.3","79.68K","0.72%"
"2022-01-24","36,686.3","36,268.6","37,424.0","32,985.6","153.77K","1.15%"
"2022-01-23","36,269.5","35,072.9","36,513.0","34,655.2","70.43K","3.40%"
"2022-01-22","35,075.2","36,467.7","36,749.8","34,116.0","138.09K","-3.84%"
"2022-01-21","36,475.5","40,698.1","41,104.6","35,503.9","155.80K","-10.41%"
"2022-01-20","40,715.9","41,683.6","43,487.1","40,568.3","65.28K","-2.31%"
"2022-01-19","41,677.8","42,365.3","42,558.0","41,160.9","53.77K","-1.62%"
"2022-01-18","42,364.6","42,209.9","42,674.2","41,300.7","47.32K","0.37%"
"2022-01-17","42,209.3","43,080.5","43,179.6","41,559.4","41.44K","-2.02%"
"2022-01-16","43,079.1","43,079.2","43,462.0","42,643.3","28.66K","-0.04%"
"2022-01-15","43,097.0","43,073.6","43,777.9","42,586.1","31.44K","0.06%"
"2022-01-14","43,073.3","42,562.2","43,435.1","41,848.7","50.50K","1.21%"
"2022-01-13","42,560.0","43,900.0","44,404.7","42,337.5","53.42K","-3.05%"
"2022-01-12","43,901.0","42,735.0","44,243.6","42,476.7","53.95K","2.73%"
"2022-01-11","42,733.2","41,829.1","43,090.2","41,287.6","61.78K","2.15%"
"2022-01-10","41,832.2","41,848.9","42,243.8","39,697.0","85.50K","-0.04%"
"2022-01-09","41,848.3","41,681.2","42,764.4","41,260.9","37.51K","0.42%"
"2022-01-08","41,672.0","41,551.3","42,304.4","40,574.3","52.54K","0.30%"
"2022-01-07","41,546.7","43,097.9","43,127.7","40,810.0","88.36K","-3.60%"
"2022-01-06","43,097.5","43,431.6","43,772.3","42,481.1","63.08K","-0.76%"
"2022-01-05","43,425.9","45,833.1","47,019.4","42,535.1","83.74K","-5.26%"
"2022-01-04","45,837.3","46,435.7","47,505.4","45,602.1","55.59K","-1.28%"
"2022-01-03","46,430.2","47,293.9","47,556.0","45,704.0","41.06K","-1.86%"
"2022-01-02","47,311.8","47,738.7","47,944.9","46,718.2","27.02K","-0.89%"
"2022-01-01","47,738.0","46,217.5","47,917.6","46,217.5","31.24K","3.29%"
